Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2021-10000,2021-10-24,2021-10-29,Standard Class,CG-1733,William Taylor #9,Consumer,West,California,Furniture,Chairs,Mesh Office Chair,123.42,1,0.0,20.02
US-2024-10001,2024-07-19,2024-07-24,Standard Class,CG-1352,Susan Jackson #5,Consumer,Central,Illinois,Office Supplies,Fasteners,Acme Staple Gun,348.14,13,0.0,107.12
US-2024-10002,2024-11-18,2024-11-24,Standard Class,CG-1238,Maria Garcia #7,Corporate,West,Oregon,Office Supplies,Fasteners,Staple remover,7.63,1,0.0,3.78
US-2023-10003,2023-05-06,2023-05-11,Standard Class,CG-1655,Karen White #9,Corporate,Central,Indiana,Office Supplies,Paper,HP Office Paper,364.2,9,0.3,14.93
US-2023-10004,2023-04-27,2023-04-30,Second Class,CG-1658,Jennifer Lee #3,Consumer,West,California,Office Supplies,Envelopes,Recycled Mailers,160.3,10,0.3,12.61
US-2022-10005,2022-05-24,2022-05-30,Standard Class,CG-1156,William Taylor #3,Consumer,Central,Missouri,Office Supplies,Envelopes,Recycled Mailers,49.98,3,0.0,22.91
US-2024-10006,2024-11-20,2024-11-26,Standard Class,CG-1348,Maria Garcia #5,Corporate,East,Georgia,Furniture,Chairs,Mesh Office Chair,3533.2,11,0.0,719.78
US-2024-10007,2024-07-01,2024-07-01,Same Day,CG-1552,David Moore #1,Consumer,South,Virginia,Furniture,Chairs,Mesh Office Chair,1996.9,11,0.2,84.87
US-2024-10008,2024-09-01,2024-09-07,Standard Class,CG-1128,Robert Johnson #8,Consumer,Central,Michigan,Technology,Accessories,Logitech Keyboard,842.24,8,0.0,216.07
US-2022-10009,2022-12-09,2022-12-16,Standard Class,CG-1123,Linda Martinez #4,Consumer,East,Pennsylvania,Office Supplies,Art,Avery Flip-Chart Markers,324.5,11,0.0,115.29
US-2021-10010,2021-02-19,2021-02-26,Standard Class,CG-1497,Linda Martinez #9,Consumer,West,California,Office Supplies,Binders,Avery Non-Stick Binder,31.58,1,0.1,6.43
US-2024-10011,2024-03-08,2024-03-12,Second Class,CG-1100,John Smith #7,Consumer,West,California,Furniture,Bookcases,Sauder Classic Bookcase,3365.6,14,0.0,830.74
US-2021-10012,2021-11-08,2021-11-15,Standard Class,CG-1051,William Taylor #9,Home Office,East,Georgia,Technology,Copiers,Canon imageCLASS,2663.52,2,0.0,692.69
US-2021-10013,2021-11-25,2021-11-26,First Class,CG-1713,Karen White #9,Consumer,East,Georgia,Technology,Copiers,Canon imageCLASS,1585.9,1,0.2,74.62
US-2024-10014,2024-10-05,2024-10-10,Standard Class,CG-1161,John Smith #9,Consumer,South,Louisiana,Office Supplies,Binders,GBC DocuBind,66.73,1,0.0,30.42
US-2022-10015,2022-02-03,2022-02-06,Second Class,CG-1733,Patricia Anderson #4,Consumer,East,Florida,Technology,Phones,Samsung Galaxy Tab,5986.97,10,0.15,424.19
US-2022-10016,2022-05-22,2022-05-26,Second Class,CG-1250,Patricia Anderson #5,Corporate,East,New York,Technology,Phones,Samsung Galaxy Tab,5124.06,9,0.0,1671.33
US-2023-10017,2023-03-20,2023-03-20,Same Day,CG-1734,Patricia Anderson #4,Consumer,Central,Minnesota,Technology,Phones,iPhone Accessories Kit,287.45,2,0.15,43.4
US-2023-10018,2023-10-17,2023-10-22,Standard Class,CG-1437,David Moore #1,Consumer,West,Nevada,Office Supplies,Binders,Avery Non-Stick Binder,57.33,3,0.3,7.2
US-2022-10019,2022-02-18,2022-02-24,Standard Class,CG-1255,William Taylor #2,Consumer,East,Pennsylvania,Furniture,Chairs,Global Troy Chair,4087.72,13,0.2,-277.9
US-2024-10020,2024-06-20,2024-06-23,Second Class,CG-1752,Linda Martinez #5,Corporate,Central,Illinois,Office Supplies,Binders,Avery Non-Stick Binder,194.28,6,0.0,77.9
US-2021-10021,2021-03-13,2021-03-15,First Class,CG-1285,Patricia Anderson #9,Consumer,West,Nevada,Technology,Accessories,Belkin USB Cables,71.88,4,0.0,24.68
US-2023-10022,2023-06-01,2023-06-07,Standard Class,CG-1590,Linda Martinez #5,Corporate,West,Oregon,Technology,Copiers,Xerox WorkCentre,11236.74,6,0.0,1945.41
US-2024-10023,2024-01-01,2024-01-08,Standard Class,CG-1127,Karen White #5,Consumer,Central,Indiana,Office Supplies,Art,Dixon Ticonderoga,154.55,11,0.0,61.67
US-2024-10024,2024-08-11,2024-08-17,Standard Class,CG-1311,James Wilson #4,Corporate,East,Pennsylvania,Furniture,Furnishings,DAX Metal Frame,70.46,3,0.45,-10.09
US-2023-10025,2023-07-15,2023-07-22,Standard Class,CG-1769,Linda Martinez #5,Consumer,West,Nevada,Office Supplies,Storage,SAFCO Mobile Tub File,807.75,9,0.0,184.18
US-2022-10026,2022-04-05,2022-04-10,Standard Class,CG-1409,Linda Martinez #3,Consumer,South,Louisiana,Office Supplies,Paper,Hammermill Copy Plus,473.33,11,0.0,149.19
US-2021-10027,2021-10-25,2021-10-26,First Class,CG-1572,Susan Jackson #6,Corporate,Central,Illinois,Technology,Copiers,Canon imageCLASS,10591.06,14,0.2,1308.16
US-2024-10028,2024-12-20,2024-12-22,First Class,CG-1533,Jennifer Lee #4,Home Office,Central,Minnesota,Furniture,Tables,Bretford Rectangular Table,2241.28,8,0.15,186.39
US-2021-10029,2021-05-23,2021-05-29,Standard Class,CG-1477,Michael Thomas #1,Consumer,East,Florida,Technology,Accessories,Belkin USB Cables,57.91,3,0.2,3.25
US-2024-10030,2024-04-13,2024-04-14,First Class,CG-1765,Karen White #9,Consumer,Central,Minnesota,Furniture,Chairs,Global Troy Chair,2543.52,7,0.0,340.33
US-2022-10031,2022-11-16,2022-11-22,Standard Class,CG-1606,Susan Jackson #1,Home Office,East,Georgia,Technology,Copiers,Canon imageCLASS,5930.61,3,0.0,1965.32
